Ticker,Company_Name,Current_Price,Decision,Decision_Reason,Market_Regime,Momentum_12_1,Momentum_Status,Momentum_Pass,RS_Ratio,RS_Status,RS_Pass,Margin_Score,Margin_Sentiment,Margin_Positive,Max_Drawdown,Current_Drawdown,Valuation_Type,PE,PE_Percentile,PB,PB_Percentile,Health_Score,Health_Rating
1301.TW,台塑,72.4,🔥 Strong Buy,低估 + 動能強 + 多頭 (PE),Bull,22.71,✅ 強勢動能 (Bull),True,0.8,⚠️ 弱勢,False,58,融資減少,False,-57.38,-36.04,PE,12.41,0.0,1.03,33.6,70,✅ B級：正常
3008.TW,大立光,2405.0,➡️ Hold,估值合理 (PE),Bull,-7.31,⚠️ 弱勢,False,0.639,⚠️ 弱勢,False,60,融資大減✅ / 融券大減,False,-43.75,-28.12,PE,13.21,30.1,1.69,6.8,75,✅ B級：正常
2474.TW,可成,196.0,➡️ Hold,估值合理 (PE),Bull,5.81,➡️ 正向,False,0.681,⚠️ 弱勢,False,75,融資大減✅ / 融券大增🎯,True,-27.81,-15.95,PE,15.03,63.0,0.88,13.2,60,⚠️ C級：警示
3376.TW,新日興,187.5,📉 Trim,高估 + 動能轉弱 (PE),Bull,3.18,⚡ 中性,False,0.571,⚠️ 弱勢,False,45,融券大減,False,-43.34,-31.2,PE,73.91,84.8,2.37,57.8,85,⭐ A級：質優生
1795.TW,美時,273.0,📉 Trim,高估 + 動能轉弱 (PE),Bull,10.84,➡️ 正向,False,1.134,🚀 極強 (Bull),True,68,融資減少 / 融券大增🎯,True,-48.54,-3.58,PE,19.44,79.7,4.15,64.5,85,⭐ A級：質優生
2707.TW,晶華,207.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-3.35,⚡ 中性,False,0.659,⚠️ 弱勢,False,58,融資減少,False,-28.82,-25.69,PE,17.07,4.3,6.63,36.0,90,🏆 S級：優質生
2337.TW,旺宏,28.55,⚠️ Hold (Caution),高估但動能強 (PB),Bull,322.53,🚀 極強動能 (Bull),True,3.001,🚀 極強 (Bull),True,35,融資大增⚠️,False,-42.69,-5.28,PB,,,3.85,93.7,80,⭐ A級：質優生
4961.TW,天鈺,233.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-31.13,⚠️ 弱勢,False,0.512,⚠️ 弱勢,False,45,融券大減,False,-52.63,-49.3,PE,12.17,24.2,1.02,5.8,65,⚠️ C級：警示
6770.TW,力積電,26.9,⚠️ Hold (Caution),高估但動能強 (PB),Bull,209.09,🚀 極強動能 (Bull),True,2.68,🚀 極強 (Bull),True,37,融資增加 / 融券大減,False,-57.01,-9.64,PB,,,3.21,88.6,75,✅ B級：正常
3037.TW,欣興,180.5,⚠️ Hold (Caution),高估但動能強 (PE),Bull,139.1,🚀 極強動能 (Bull),True,1.763,🚀 極強 (Bull),True,45,融資大增⚠️ / 融券大增🎯,False,-67.33,-5.8,PE,174.88,93.6,6.07,93.6,85,⭐ A級：質優生
6415.TW,矽力*-KY,390.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-48.23,⚠️ 弱勢,False,0.557,⚠️ 弱勢,False,60,融券大增🎯,False,-67.77,-50.99,PE,41.3,8.2,3.02,22.8,80,⭐ A級：質優生
3533.TW,嘉澤,1005.0,➡️ Hold,估值合理 (PE),Bull,-24.65,⚠️ 弱勢,False,0.792,⚠️ 弱勢,False,65,融資大減✅,True,-47.89,-22.08,PE,21.3,43.5,5.11,63.1,75,✅ B級：正常
3653.TW,健策,849.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,145.94,🚀 極強動能 (Bull),True,1.327,🚀 極強 (Bull),True,58,融資減少,False,-52.0,-4.46,PE,87.92,93.9,22.76,95.2,35,🛑 D級：高風險
2379.TW,瑞昱,469.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-5.99,⚠️ 弱勢,False,0.568,⚠️ 弱勢,False,30,融資大增⚠️ / 融券大減,False,-27.15,-23.34,PE,15.32,2.9,5.01,52.3,85,⭐ A級：質優生
2345.TW,智邦,539.0,✅ Hold,估值合理 + 動能強 (PE),Bull,59.91,🚀 極強動能 (Bull),True,0.724,⚠️ 弱勢,False,50,➡️ 中性,False,-44.02,-11.07,PE,27.93,31.5,12.68,64.0,45,⚠️ C級：警示
6239.TW,力成,151.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,102.08,🚀 極強動能 (Bull),True,1.315,🚀 極強 (Bull),True,75,融資大減✅ / 融券大增🎯,True,-50.75,-7.4,PE,34.71,90.3,3.32,88.6,85,⭐ A級：質優生
9914.TW,美利達,180.5,➡️ Hold,估值合理 (PE),Bull,-51.13,⚠️ 弱勢,False,0.5,⚠️ 弱勢,False,50,➡️ 中性,False,-68.85,-65.71,PE,34.12,42.0,1.36,5.3,75,✅ B級：正常
3702.TW,大聯大,86.6,📈 Accumulate,低估 + 籌碼正向 (PE),Bull,-12.66,⚠️ 弱勢,False,0.636,⚠️ 弱勢,False,65,融資大減✅,True,-48.02,-37.52,PE,11.93,5.7,1.41,31.8,50,⚠️ C級：警示 (Sloan+CCR雙殺)
9933.TW,中鼎,41.9,📉 Trim,高估 + 動能轉弱 (PE),Bull,-20.68,⚠️ 弱勢,False,0.646,⚠️ 弱勢,False,53,融資減少 / 融券大減,False,-53.85,-42.67,PE,97.81,87.6,1.58,34.4,60,⚠️ C級：警示
6176.TW,瑞儀,140.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-35.99,⚠️ 弱勢,False,0.588,⚠️ 弱勢,False,60,融券大增🎯,False,-48.29,-44.65,PE,10.64,23.3,1.66,14.2,50,⚠️ C級：警示
8210.TW,勤誠,275.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,335.22,🚀 極強動能 (Bull),True,1.2,🚀 極強 (Bull),True,50,➡️ 中性,False,-45.16,0.0,PE,44.56,85.9,13.81,82.9,42,⚠️ C級：警示
6515.TW,穎崴,843.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,250.89,🚀 極強動能 (Bull),True,2.366,🚀 極強 (Bull),True,75,融資大減✅ / 高券資比🔥,True,-52.11,-2.85,PE,103.07,96.4,27.02,96.6,80,⭐ A級：質優生
4966.TW,譜瑞-KY,1260.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-11.27,⚠️ 弱勢,False,0.437,⚠️ 弱勢,False,42,融資增加,False,-65.95,-60.53,PE,14.52,1.6,1.9,8.6,95,🏆 S級：優質生
1514.TW,亞力,82.2,➡️ Hold,估值合理 (PE),Bull,1.17,⚡ 中性,False,0.764,⚠️ 弱勢,False,60,融券大增🎯,False,-57.36,-33.61,PE,39.9,42.9,5.44,52.7,37,🛑 D級：高風險
3711.TW,日月光投控,135.5,⚠️ Hold (Caution),高估但動能強 (PE),Bull,77.04,🚀 極強動能 (Bull),True,1.277,🚀 極強 (Bull),True,50,➡️ 中性,False,-40.57,-9.55,PE,35.11,84.2,3.91,85.3,80,⭐ A級：質優生
2330.TW,台積電,697.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,55.81,🚀 極強動能 (Bull),True,1.0,⚠️ 弱勢,False,45,融券大減,False,-30.84,-3.02,PE,28.84,75.3,9.16,94.7,85,⭐ A級：質優生
2015.TW,豐興,69.1,➡️ Hold,估值合理 (PE),Bull,-8.79,⚠️ 弱勢,False,0.653,⚠️ 弱勢,False,50,➡️ 中性,False,-36.0,-23.96,PE,16.26,46.6,1.74,32.6,90,🏆 S級：優質生
1216.TW,統一,73.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-3.85,⚡ 中性,False,0.624,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-20.62,-18.74,PE,21.06,8.3,3.26,15.5,85,⭐ A級：質優生
2912.TW,統一超,265.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-14.0,⚠️ 弱勢,False,0.568,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-31.19,-27.72,PE,20.41,11.8,5.78,6.0,85,⭐ A級：質優生
4763.TW,材料-KY,873.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-94.32,⚠️ 弱勢,False,0.521,⚠️ 弱勢,False,50,➡️ 中性,False,-95.73,-95.37,PE,6.96,1.6,2.96,3.5,20,🛑 D級：高風險 (財務虛胖)
5269.TW,祥碩,1985.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-35.1,⚠️ 弱勢,False,0.459,⚠️ 弱勢,False,45,融券大減,False,-54.9,-50.78,PE,19.3,2.4,2.88,2.2,45,⚠️ C級：警示
2377.TW,微星,193.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-47.2,⚠️ 弱勢,False,0.415,⚠️ 弱勢,False,45,融券大減,False,-55.32,-55.32,PE,16.57,26.6,1.46,0.0,80,⭐ A級：質優生
1303.TW,南亞,61.2,⚠️ Hold (Caution),高估但動能強 (PE),Bull,129.12,🚀 極強動能 (Bull),True,1.188,🚀 極強 (Bull),True,60,融券大增🎯,False,-56.74,-8.81,PE,116.09,90.0,1.8,87.5,90,🏆 S級：優質生
2395.TW,研華,383.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-22.99,⚠️ 弱勢,False,0.608,⚠️ 弱勢,False,37,融資增加 / 融券大減,False,-34.57,-31.22,PE,24.55,6.5,4.84,7.6,75,✅ B級：正常
3044.TW,健鼎,223.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,79.2,🚀 極強動能 (Bull),True,0.812,⚠️ 弱勢,False,45,融券大減,False,-37.82,-5.28,PE,20.8,90.9,4.19,92.0,70,✅ B級：正常
8046.TW,南電,224.5,⚠️ Hold (Caution),高估但動能強 (PE),Bull,142.35,🚀 極強動能 (Bull),True,1.548,🚀 極強 (Bull),True,70,融資大減✅,True,-66.77,-3.05,PE,184.27,92.1,5.78,96.5,90,🏆 S級：優質生
1519.TW,華城,496.0,✅ Hold,估值合理 + 動能強 (PE),Bull,52.35,🚀 極強動能 (Bull),True,1.016,➡️ 持平,False,65,融資大減✅,True,-68.33,-11.57,PE,70.07,64.5,34.43,68.0,62,⚠️ C級：警示
8464.TW,億豐,346.0,➡️ Hold,估值合理 (PE),Bull,-16.55,⚠️ 弱勢,False,0.554,⚠️ 弱勢,False,65,融資大減✅,True,-42.7,-19.07,PE,18.55,51.4,4.46,32.3,75,✅ B級：正常
2303.TW,聯電,49.2,✅ Hold,估值合理 + 動能強 (PE),Bull,39.69,🚀 極強動能 (Bull),True,1.003,➡️ 持平,False,45,融資大增⚠️ / 融券大增🎯,False,-30.85,-19.29,PE,19.22,69.1,2.14,72.0,95,🏆 S級：優質生
9910.TW,豐泰,166.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-14.25,⚠️ 弱勢,False,0.505,⚠️ 弱勢,False,30,融資大增⚠️ / 融券大減,False,-47.93,-44.38,PE,17.87,16.7,3.97,18.0,90,🏆 S級：優質生
2454.TW,聯發科,972.0,📉 Trim,高估 + 動能轉弱 (PE),Bull,0.0,⚡ 中性,False,0.848,⚠️ 弱勢,False,60,融券大增🎯,False,-33.93,-1.67,PE,26.6,95.3,6.72,97.6,90,🏆 S級：優質生
2618.TW,長榮航,31.35,📈 Accumulate,低估但動能未達標 (PE),Bull,-19.89,⚠️ 弱勢,False,0.643,⚠️ 弱勢,False,55,融券增加,False,-30.5,-19.39,PE,7.98,18.8,1.58,42.2,85,⭐ A級：質優生
