序號,欄位名稱,資料型態,欄位中文名稱,單位,欄位說明
"28","a3700","decimal(16,0)","營業外收入及支出","T","營業外收入及支出。"
"29","a3900","decimal(16,0)","稅前淨利","T","稅前淨利。"
"30","a3910","decimal(16,0)","所得稅費用","T","含當期及遞延所得稅費用或利益，但不含停業部門。"
"31","a3920","decimal(16,0)","繼續營業單位損益","T","繼續營業單位損益。"
"32","a3970","decimal(16,0)","合併總損益","T","合併總損益。"
"33","a3950","decimal(16,0)","歸屬母公司淨利（損）","T","合併報表方之科目，指母公司股東所擁有之普通股東權益應分配之合併總損益。"
"34","a3990","decimal(16,2)","每股盈餘","-","每股盈餘（EarningsPerShare；EPS）按當期之加權平均股數計算，而不採用追溯調整後之股數。"
"35","a211f","decimal(16,0)","加權平均股數","-","流通在外股數若因無償配股、紅利、股票分割及減資彌補虧損而造成變動時，應予以追溯調整計算加權平均股數。*考量財報的比較期資訊，係以當期為基準的的擬制比較數，若後續年度財報追溯調整股數不予採用，仍以當期財報的揭露資訊為準。**呈上，若遇前期無出具財報，僅有後續年度財報揭露前期資訊的情形，則該前期之[T211F加權平均股數]=[T211E股本]/[面額]。"
"36","a399z","decimal(16,2)","每股盈餘－基本 (財報原值)","-","MOPS提供之每股盈餘（EarningsPerShare；EPS）"
"37","a2111","decimal(16,0)","普通股股數","-","普通股股數"
"38","a2121","decimal(16,0)","特別股股數","-","特別股股數"
"39","a2303","decimal(16,0)","增資準備－約當股數","-","增資準備－約當股數"
"40","a391z","decimal(16,2)","營利事業所得稅稅率","-","營利事業所得稅稅率"
"41","a2117","decimal(16,0)","發放特別股股息","T","發放特別股股息"
"42","a2402","decimal(16,0)","稅前息前淨利","T","稅前息前淨利。"
"43","a2403","decimal(16,0)","稅前息前折舊前淨利","T","稅前息前折舊前淨利。"
"44","a240g","decimal(16,0)","庫藏股數（母持及子持母）","-","庫藏股數（母公司持有及子公司持有母公司股票或其他）。"
"45","a7210","decimal(16,0)","來自營運之現金流量","T","係指企業透過平時的營運活動所產生的現金流出與流入。"
"46","a7300","decimal(16,0)","投資活動之現金流量","T","係指企業透過投資活動所產生的現金流入與流出。"
"47","a7400","decimal(16,0)","籌資活動之現金流量","T","係指企業透過資金籌措活動所產生的現金流入與流出。"
"48","r101","decimal(16,2)","ROA(A)稅後息前","-","＜概述＞亦稱資產報酬率，衡量企業運用資產創造獲利的能力。（以稅後息前淨利做為獲利的指標（分子））"
"49","r103","decimal(16,2)","ROE(A)－稅後","-","＜概述＞亦稱股東權益報酬率，衡量企業運用股東權益創造獲利的能力。（以稅後淨利做為獲利的指標（分子））"
"50","r145","decimal(16,2)","稅前息前折舊前淨利率","-","＜概述＞衡量企業利用主要營運業務產生現金流的能力及獲利狀況。"
"51","r105","decimal(16,2)","營業毛利率","-","＜概述＞以每一元收入能賺得的毛利來衡量獲利能力。"
"52","r106","decimal(16,2)","營業利益率","-","＜概述＞衡量企業業內獲利能力。"
"53","r107","decimal(16,2)","稅前淨利率","-","＜概述＞衡量企業稅前（含業外）獲利能力。"
"54","r108","decimal(16,2)","稅後淨利率","-","＜概述＞衡量企業稅後（含業外）獲利能力。"
"55","r112","decimal(16,2)","業外收支/營收","-","＜概述＞衡量企業業外獲利能力。"
"56","r201","decimal(16,2)","營業費用率","-","＜概述＞衡量企業從事營業活動所需花費的各項費用占營業收入的比重。"
"57","r203","decimal(16,2)","研究發展費用率","-","＜概述＞衡量公司的研發費用占營收之比重。"
"58","r205","decimal(16,2)","現金流量比率","-","＜概述＞衡量企業在正常運作的情況下，營業活動所產生的現金流量是否足以償付流動負債。"
"59","r307","decimal(16,2)","每股淨值(A)","-","＜概述＞衡量每股普通股股東所能分配到的股東權益總額。"
"60","r304","decimal(16,2)","每股營業額","-","＜概述＞衡量每股股東（普通股股東及特別股股東）平均持有多少營業額。"
"61","r305","decimal(16,2)","每股營業利益","-","＜概述＞衡量每股股東（普通股股東及特別股股東）平均持有多少營業淨利。"
"62","r306","decimal(16,2)","每股稅前淨利","-","＜概述＞衡量企業每股普通股在一會計期間內所認列的稅前淨利。"
"63","r401","decimal(16,2)","營收成長率","-","＜概述＞衡量企業相較於去年同期的營收增長率。"
"64","r402","decimal(16,2)","營業毛利成長率","-","＜概述＞衡量企業相較於去年同期營業毛利之增長率。"
"65","r403","decimal(16,2)","營業利益成長率","-","＜概述＞衡量企業相較於去年同期營業利益之增長率。"
"66","r404","decimal(16,2)","稅前淨利成長率","-","＜概述＞衡量企業相較於去年同期稅前淨利之增長率。"
"67","r405","decimal(16,2)","稅後淨利成長率","-","＜概述＞衡量企業相較於去年同期稅後淨利之增長率。"
"68","r408","decimal(16,2)","總資產成長率","-","＜概述＞衡量企業相較於去年同期總資產之增長率。"
"69","r409","decimal(16,2)","淨值成長率","-","＜概述＞衡量企業相較於去年同期淨值之增長率。"
"70","r501","decimal(16,2)","流動比率","-","<概述>衡量企業之流動性與償債能力。"
"71","r502","decimal(16,2)","速動比率","-","＜概述＞衡量企業之流動性與短期償債能力。"
"72","r505","decimal(16,2)","負債比率","-","＜概述＞衡量企業之長期償債能力及資本結構。"
"73","debt","decimal(16,0)","長短期借款","-","＜概述＞衡量企業負債屬於資金融通的部分。"
"74","r509","decimal(16,2)","借款依存度","-","＜概述＞利用企業營運所需資金中，來自債權人借款與股東出資的比例來衡量實際負債狀況。"
"75","r512","decimal(16,2)","利息保障倍數","-","＜概述＞衡量企業利用稅前息前純益支付利息費用的能力（長期償債能力）。"
"76","r608","decimal(16,2)","應收帳款週轉次數","-","＜概述＞衡量企業收款的速度與效率。"
"77","r607","decimal(16,2)","總資產週轉次數","-","＜概述＞衡量企業整體資產使用效率。"
"78","r609","decimal(16,2)","平均收帳天數","-","＜概述＞衡量企業收款的速度與效率。"
"79","r610","decimal(16,2)","存貨週轉率（次）","-","＜概述＞衡量企業存貨管理能力。"
"80","r611","decimal(16,2)","平均售貨天數","-","＜概述＞衡量企業存貨管理能力。"
"81","r612","decimal(16,2)","固定資產週轉次數","-","＜概述＞衡量企業固定資產使用效率。"
"82","r613","decimal(16,2)","淨值週轉率（次）","-","＜概述＞衡量企業自有資本使用效率。"
"83","r614","decimal(16,2)","應付帳款付現天數","-","＜概述＞衡量企業償還供應商貨款平均耗費之天數。"
"84","a0200","decimal(16,0)","貼現及放款_銀行、金控","T","銀行業：為銀行的主要營業活動，含押匯及貼、透支、短中長期擔保與信用放款等。金控業：係押匯、貼現、放款、壽險貸款、墊繳保費及由放款轉列之催收款項。為銀行業、金控業揭露科目"
"85","a1300","decimal(16,0)","存款及匯款_銀行、金控","T","凡收受客戶存入及匯撥之各種款項屬之。為銀行業、金控業揭露科目"
"86","a3510","decimal(16,0)","利息支出_銀行、金控","T","銀行業：凡收受存款或舉借其他債務所發生之各項利息費用屬之。金控業：係收受存款或舉借其他債務、辦理融資融券業務、附買回票券及債券負債、再保存入保證金及金融負債所發生之各項利息費用。為銀行業、金控業揭露科目"
"87","a341c","decimal(16,0)","利息淨收益_銀行、金控","T","係利息收入扣除利息支出之金額。為銀行業、金控業揭露科目"
"88","a345a","decimal(16,0)","手續費淨收益_銀行、金控","T","為手續費收入扣除手續費費用之金額為銀行業、金控業揭露科目"
"89","a340a","decimal(16,0)","淨收益_銀行、金控","T","為利息淨收益與其他利息以外淨損益合計。為銀行業、金控業揭露科目"
"90","a3350","decimal(16,0)","營業成本_保險","T","係本期內因經常營業活動而從事直接承保、分入、分出再保、進行投資活動所產生之各項交易而累積之支出（損失）均屬之。為保險業揭露科目"
"91","a3400","decimal(16,0)","營業外收入及支出_保險","T","保險業之營業外收入及支出。為保險業揭露科目"
"92","a310c","decimal(16,0)","收益合計_證券","T","證券商不含業外收入之營業收入合計。為保險業揭露科目"
"93","a3600","decimal(16,0)","支出及費用合計_證券","T","證券業之支出及費用合計。為保險業揭露科目"
"94","a340f","decimal(16,0)","業外－營業外損益合計_證券","T","業外─採權益法認列之關聯企業及業外─其他利益及損失合計項。為保險業揭露科目"
